circuit_name,category,expected_normal,vae_predicted_normal,vae_confidence,vae_correct,vae_available,vae_message,llm_model,llm_predicted_normal,llm_confidence,llm_correct,llm_available,llm_analysis,vae_time,llm_time,total_time
NOT Gate,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,groq,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99989, Requested 478. Please try again in 6m43.488s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2549643516540527,0.24503564834594727
NOT Gate,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,gemini,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99985, Requested 478. Please try again in 6m40.032s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2222375869750977,0.27776241302490234
2-Input NAND,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,gpt-4o,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99981, Requested 518. Please try again in 7m11.135999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.228135347366333,0.271864652633667
2-Input NAND,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,claude,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99978, Requested 518. Please try again in 7m8.544s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2260103225708008,0.2739896774291992
2-Input NAND,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,groq,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99974, Requested 518. Please try again in 7m5.087999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2644493579864502,0.2355506420135498
2-Input NAND,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,gemini,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99970, Requested 518. Please try again in 7m1.632s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.241328239440918,0.25867176055908203
2-Input NOR,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,gpt-4o,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99966, Requested 517. Please try again in 6m57.312s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2606778144836426,0.23932218551635742
2-Input NOR,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,claude,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99963, Requested 517. Please try again in 6m54.72s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2484300136566162,0.2515699863433838
2-Input NOR,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,groq,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99959, Requested 517. Please try again in 6m51.264s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2283859252929688,0.27161407470703125
2-Input NOR,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,gemini,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99955, Requested 517. Please try again in 6m47.808s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2633700370788574,0.23662996292114258
3-Input AND,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,gpt-4o,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99951, Requested 519. Please try again in 6m46.08s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2090020179748535,0.2909979820251465
3-Input AND,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,claude,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99947, Requested 519. Please try again in 6m42.624s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2394847869873047,0.2605152130126953
3-Input AND,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,groq,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99944, Requested 519. Please try again in 6m40.032s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2601070404052734,0.23989295959472656
3-Input AND,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,gemini,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99940, Requested 519. Please try again in 6m36.576s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2669579982757568,0.23304200172424316
2:1 Mux,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,gpt-4o,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99936, Requested 549. Please try again in 6m59.04s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2464311122894287,0.2535688877105713
2:1 Mux,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,claude,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99932, Requested 549. Please try again in 6m55.584s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2636141777038574,0.23638582229614258
2:1 Mux,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,groq,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99929, Requested 549. Please try again in 6m52.992s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2635607719421387,0.23643922805786133
2:1 Mux,Combinational - Normal,True,True,0.4,True,True,NORMAL - behavior appears normal,gemini,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99925, Requested 549. Please try again in 6m49.536s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2408828735351562,0.25911712646484375
Stuck AND (always 0),Combinational - Buggy,False,False,0.9,True,True,ANOMALOUS - output 'out' stuck at 0,gpt-4o,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99921, Requested 517. Please try again in 6m18.432s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2488014698028564,0.25119853019714355
Stuck AND (always 0),Combinational - Buggy,False,False,0.9,True,True,ANOMALOUS - output 'out' stuck at 0,claude,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99917, Requested 517. Please try again in 6m14.976s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.24996018409729,0.25003981590270996
Stuck AND (always 0),Combinational - Buggy,False,False,0.9,True,True,ANOMALOUS - output 'out' stuck at 0,groq,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99914, Requested 517. Please try again in 6m12.383999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2006337642669678,0.2993662357330322
Stuck AND (always 0),Combinational - Buggy,False,False,0.9,True,True,ANOMALOUS - output 'out' stuck at 0,gemini,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99910, Requested 517. Please try again in 6m8.928s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.064051866531372,0.43594813346862793
Stuck AND (always 1),Combinational - Buggy,False,False,0.9,True,True,ANOMALOUS - output 'out' stuck at 1,gpt-4o,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99906, Requested 518. Please try again in 6m6.336s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.213629961013794,0.28637003898620605
Stuck AND (always 1),Combinational - Buggy,False,False,0.9,True,True,ANOMALOUS - output 'out' stuck at 1,claude,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99902, Requested 518. Please try again in 6m2.88s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.209899663925171,0.2901003360748291
Stuck AND (always 1),Combinational - Buggy,False,False,0.9,True,True,ANOMALOUS - output 'out' stuck at 1,groq,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99898, Requested 518. Please try again in 5m59.424s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2363927364349365,0.2636072635650635
Stuck AND (always 1),Combinational - Buggy,False,False,0.9,True,True,ANOMALOUS - output 'out' stuck at 1,gemini,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99894, Requested 518. Please try again in 5m55.968s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2687609195709229,0.23123908042907715
Inverted AND (NAND),Combinational - Buggy,False,True,0.4,False,True,NORMAL - behavior appears normal,gpt-4o,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99891, Requested 518. Please try again in 5m53.376s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2484540939331055,0.25154590606689453
Inverted AND (NAND),Combinational - Buggy,False,True,0.4,False,True,NORMAL - behavior appears normal,claude,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99887, Requested 518. Please try again in 5m49.919999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2549653053283691,0.24503469467163086
Inverted AND (NAND),Combinational - Buggy,False,True,0.4,False,True,NORMAL - behavior appears normal,groq,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99883, Requested 518. Please try again in 5m46.464s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2451326847076416,0.2548673152923584
Inverted AND (NAND),Combinational - Buggy,False,True,0.4,False,True,NORMAL - behavior appears normal,gemini,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99879, Requested 518. Please try again in 5m43.008s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2522878646850586,0.2477121353149414
Wrong OR (acts like AND),Combinational - Buggy,False,True,0.4,False,True,NORMAL - behavior appears normal,gpt-4o,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99876, Requested 516. Please try again in 5m38.688s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2626593112945557,0.23734068870544434
Wrong OR (acts like AND),Combinational - Buggy,False,True,0.4,False,True,NORMAL - behavior appears normal,claude,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99872, Requested 516. Please try again in 5m35.232s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2656397819519043,0.2343602180480957
Wrong OR (acts like AND),Combinational - Buggy,False,True,0.4,False,True,NORMAL - behavior appears normal,groq,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99868, Requested 516. Please try again in 5m31.776s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2549612522125244,0.24503874778747559
Wrong OR (acts like AND),Combinational - Buggy,False,True,0.4,False,True,NORMAL - behavior appears normal,gemini,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99864, Requested 516. Please try again in 5m28.32s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.232377529144287,0.2676224708557129
Inverted XOR (XNOR),Combinational - Buggy,False,True,0.4,False,True,NORMAL - behavior appears normal,gpt-4o,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99861, Requested 517. Please try again in 5m26.592s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2105727195739746,0.2894272804260254
Inverted XOR (XNOR),Combinational - Buggy,False,True,0.4,False,True,NORMAL - behavior appears normal,claude,,0.0,,True,"❌ Analysis failed: Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01k236vhz3eqpsn0x0c471tafb` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99857, Requested 517. Please try again in 5m23.135999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}",1.5,-1.2038044929504395,0.29619550704956055
